,date,month,road_accidents,total_rainfall,no_of_rainy_days,relative_humidity,mean_sunshine_hrs,mean_daily_temp
157,2021-02-01,2,475,1.0,2,73.8,8.2,24.8
158,2021-03-01,3,540,182.4,14,76.6,7.3,25.0
159,2021-04-01,4,499,290.4,14,77.4,6.8,25.3
160,2021-05-01,5,470,245.8,13,79.3,6.0,26.0
161,2021-06-01,6,472,93.4,20,77.8,6.5,25.6
162,2021-07-01,7,474,195.8,12,76.5,6.8,26.2
163,2021-08-01,8,534,293.6,24,80.4,4.8,24.8
164,2021-09-01,9,533,205.4,14,77.3,6.4,25.6
165,2021-10-01,10,440,177.0,14,78.3,6.2,25.8
166,2021-11-01,11,521,312.4,23,81.7,4.9,24.8
167,2021-12-01,12,525,119.6,15,79.7,5.4,25.4
