Week,abdominal pain: (Singapore),aedes: (Singapore),Aedes aegypti: (Singapore),Aedes mosquito: (Singapore),bleeding: (Singapore),blood transfusion: (Singapore),citronella: (Singapore),DEET: (Singapore),dengue: (Singapore),Dengue cluster: (Singapore),dengue fever: (Singapore),dengue hotspots: (Singapore),dengue vaccine: (Singapore),Dengvaxia: (Singapore),dhf: (Singapore),essential oils: (Singapore),eucalyptus: (Singapore),Fever: (Singapore),fogging: (Singapore),haemorrhagic: (Singapore),headache: (Singapore),insecticide: (Singapore),IR3535: (Singapore),joint pain: (Singapore),mopiko: (Singapore),mosquito: (Singapore),mosquito bite: (Singapore),mosquito net: (Singapore),mosquito repellent: (Singapore),nausea: (Singapore),picaridin: (Singapore),Rashes: (Singapore),repellent: (Singapore),stagnant water: (Singapore),vomit: (Singapore),wolbachia: (Singapore)
2021-02-21,87,23,0,0,56,0,0,0,11,18,10,0,0,0,0,31,36,31,21,0,69,44,0,34,0,34,13,16,0,44,0,34,25,0,47,33
2021-02-28,35,0,0,27,59,36,39,0,11,7,14,0,0,86,33,52,38,27,29,0,88,29,0,47,0,43,75,0,28,39,0,79,37,19,63,14
2021-03-07,61,31,0,0,79,20,100,0,11,6,10,0,0,0,0,60,42,30,32,0,72,49,0,73,0,45,56,23,0,45,0,75,33,0,73,0
2021-03-14,88,15,0,0,57,15,0,0,9,9,0,0,0,0,0,58,35,27,38,0,76,0,0,48,0,34,17,0,10,38,20,60,43,0,88,0
2021-03-21,33,0,34,0,59,0,0,28,10,11,14,18,0,0,0,37,31,30,51,0,72,0,0,57,47,33,0,0,26,35,20,53,36,0,65,17
2021-03-28,39,0,0,35,63,13,27,0,10,0,11,0,0,0,0,47,45,30,48,0,76,39,0,48,0,32,0,26,10,52,0,72,21,0,53,11
2021-04-04,48,24,80,0,54,18,34,0,9,10,15,0,35,0,0,49,41,28,18,47,60,100,30,64,24,39,37,41,39,50,34,54,38,24,53,19
2021-04-11,53,16,0,33,60,27,20,0,10,0,11,0,0,0,22,45,44,31,0,0,62,46,0,42,100,37,0,24,41,57,0,85,36,27,49,10
2021-04-18,39,12,22,27,67,35,0,0,10,12,11,0,0,0,24,41,23,39,27,0,78,38,0,36,36,47,37,32,24,49,70,65,31,0,67,0
2021-04-25,28,17,0,67,68,0,19,0,13,20,0,0,0,0,15,56,23,34,25,0,89,65,0,48,0,45,24,29,18,55,0,53,22,0,78,11
2021-05-02,31,0,22,0,62,0,23,0,9,0,8,0,0,0,29,71,18,40,39,0,67,78,0,57,60,54,26,0,33,52,0,55,55,0,64,0
2021-05-09,65,29,0,0,56,38,16,0,11,0,0,0,0,0,0,61,39,41,0,0,75,33,17,43,0,37,57,33,27,39,24,52,34,0,69,0
2021-05-16,55,37,55,0,64,12,24,44,8,22,0,0,0,54,20,47,25,38,37,0,82,35,0,56,44,39,0,16,24,48,0,69,52,19,43,0
2021-05-23,40,14,0,19,61,0,0,37,11,15,0,0,16,0,0,54,44,38,47,0,72,0,0,33,0,46,47,37,39,73,0,98,37,0,42,0
2021-05-30,38,47,0,29,59,18,35,30,12,23,17,0,0,0,49,45,39,34,0,0,89,26,20,49,47,46,13,33,26,53,0,66,28,0,55,0
2021-06-06,66,40,29,33,55,16,18,0,10,13,11,0,23,0,21,48,30,32,31,0,77,22,0,54,21,44,49,0,0,74,19,60,26,25,59,15
2021-06-13,74,12,0,0,69,0,15,0,10,19,15,0,0,0,0,49,25,36,23,41,77,60,0,59,0,46,11,21,15,67,0,55,42,0,52,0
2021-06-20,62,27,0,27,56,13,35,24,8,9,0,0,37,28,19,20,50,31,24,49,82,34,0,31,68,37,0,0,30,58,19,48,42,54,53,0
2021-06-27,67,18,0,18,66,0,24,0,9,29,0,0,40,0,0,64,46,33,0,61,78,0,0,36,0,38,22,0,22,46,0,77,28,19,62,0
2021-07-04,65,20,0,26,50,0,48,0,10,12,11,25,0,0,0,33,30,41,25,37,82,0,81,38,0,31,15,28,24,67,0,65,53,16,23,0
2021-07-11,47,27,0,0,60,29,21,20,12,14,18,0,0,0,23,44,18,44,49,51,83,0,0,64,0,40,43,0,0,39,0,59,31,0,75,25
2021-07-18,41,0,0,0,76,12,32,0,15,8,24,0,42,0,0,82,33,51,30,0,88,64,0,79,32,37,56,34,0,57,0,100,24,39,60,0
2021-07-25,53,33,0,0,69,0,22,0,5,0,5,0,0,31,0,32,27,43,31,77,91,35,0,24,0,34,17,39,18,41,0,80,24,16,52,0
2021-08-01,57,0,0,33,78,24,0,0,11,0,13,25,0,27,0,17,30,51,15,0,81,60,0,58,0,28,0,0,0,55,0,91,25,42,63,0
2021-08-08,51,0,0,0,41,35,15,0,10,9,13,0,0,0,0,37,27,33,15,0,100,0,0,77,0,34,32,0,12,46,0,86,31,0,71,0
2021-08-15,13,21,0,0,40,47,20,0,8,0,13,0,19,0,0,46,18,31,100,0,72,64,33,59,66,31,0,32,0,47,85,73,27,30,31,0
2021-08-22,51,0,0,0,64,37,17,0,8,0,9,0,0,0,0,33,37,24,24,23,62,37,0,64,45,25,17,17,9,31,0,55,44,0,58,0
2021-08-29,41,0,0,20,52,93,0,35,7,0,10,0,0,0,0,50,48,25,36,0,57,45,0,32,0,40,56,44,34,55,0,43,26,24,58,0
2021-09-05,19,14,0,0,48,35,92,0,10,0,0,39,0,0,84,34,47,32,23,0,80,39,0,47,26,27,46,67,0,75,0,77,33,28,72,0
2021-09-12,72,0,24,0,52,32,27,42,10,6,0,0,36,0,0,13,33,29,20,0,62,52,0,47,0,39,34,0,9,48,0,68,35,0,61,0
2021-09-19,63,0,0,0,59,0,57,0,13,10,14,0,0,0,0,26,33,34,26,0,72,0,0,63,0,26,0,23,10,52,0,80,22,23,53,0
2021-09-26,56,0,0,0,51,34,23,0,11,17,0,0,0,0,0,12,31,28,21,0,59,23,19,50,37,40,0,28,0,41,100,52,28,0,53,0
2021-10-03,52,29,0,25,61,35,0,35,11,21,6,0,0,0,0,42,32,32,0,48,63,47,0,66,0,28,30,0,8,55,0,73,25,63,65,0
2021-10-10,59,0,0,41,73,0,36,0,10,14,6,0,0,0,0,39,38,31,32,0,90,30,0,28,0,33,0,22,9,54,0,40,20,0,65,0
2021-10-17,50,0,0,0,49,0,30,0,11,0,14,0,0,0,0,28,15,29,15,95,77,72,0,70,0,34,54,0,27,32,0,40,13,59,40,0
2021-10-24,50,0,0,0,48,22,64,25,9,11,9,26,0,0,0,0,69,31,46,0,75,16,0,59,48,19,28,26,0,32,0,71,12,21,65,67
2021-10-31,59,0,25,0,38,31,24,0,10,9,13,0,0,45,18,71,36,28,32,0,60,0,0,37,34,30,0,41,14,36,0,51,14,27,87,0
2021-11-07,59,0,0,27,55,36,0,0,6,0,15,0,0,0,0,51,31,34,47,49,66,38,0,14,0,26,12,0,0,28,0,47,41,0,50,0
2021-11-14,82,0,26,0,72,28,62,0,7,0,16,0,0,0,0,36,13,30,21,28,71,30,0,16,51,41,64,45,14,64,0,46,27,18,54,0
2021-11-21,66,0,28,32,67,0,0,24,8,9,0,0,29,0,23,0,39,26,0,0,66,52,0,61,52,37,26,23,19,59,0,53,31,0,62,0
2021-11-28,53,0,0,0,67,23,38,0,5,7,0,0,0,0,0,17,37,24,56,0,72,25,0,45,67,28,20,0,22,50,0,50,33,0,33,0
2021-12-05,12,23,0,0,55,16,24,0,7,27,8,29,0,0,0,50,26,25,24,0,60,84,0,67,0,27,0,29,17,29,0,66,14,0,9,11
2021-12-12,46,0,0,0,49,65,18,0,5,17,0,0,0,0,35,56,37,26,34,0,56,0,0,81,0,32,0,0,9,45,0,69,17,0,58,0
2021-12-19,64,0,55,0,55,36,38,0,1,0,11,0,0,0,100,47,52,28,0,0,59,74,0,60,0,23,24,0,21,41,0,56,34,0,36,0
2021-12-26,29,0,0,24,52,0,36,0,4,0,0,0,0,0,0,77,46,36,0,0,69,0,0,68,0,23,18,25,28,46,0,59,51,0,80,0
2022-01-02,66,0,0,0,54,54,44,0,8,0,7,0,0,0,0,0,28,37,34,0,78,0,0,89,0,44,29,0,20,73,0,41,36,0,64,14
2022-01-09,37,20,0,0,85,22,34,85,10,0,19,0,51,0,0,32,37,45,23,42,96,0,0,35,0,28,35,0,20,81,0,81,33,56,89,23
2022-01-16,30,0,92,0,67,19,32,0,7,8,0,0,53,0,0,43,28,43,0,39,92,76,0,56,0,37,77,29,41,100,0,75,25,36,57,56
2022-01-23,47,0,0,57,62,31,0,0,11,6,0,0,0,0,0,30,12,45,0,0,91,0,0,76,0,36,29,0,22,68,0,54,23,31,49,0
2022-01-30,41,0,0,0,100,0,0,0,8,11,8,0,0,0,0,31,31,45,0,0,78,0,0,60,0,33,57,50,25,46,0,69,52,0,92,0
2022-02-06,33,0,0,0,54,47,28,0,10,0,10,0,0,0,0,33,72,52,0,32,74,28,0,49,31,47,0,29,48,68,0,67,52,0,50,0
2022-02-13,33,11,0,0,64,23,37,51,10,0,13,0,0,0,0,50,46,59,35,27,83,40,0,58,0,35,26,0,0,58,0,64,20,26,70,0
2022-02-20,35,36,0,28,55,31,16,39,9,0,10,0,24,0,15,27,44,60,0,32,86,58,20,58,18,30,0,37,8,51,0,53,32,0,77,21
2022-02-27,69,12,0,0,50,25,0,0,13,0,11,13,0,29,0,36,42,58,53,34,89,24,0,50,66,34,18,43,23,57,69,76,28,14,77,0
2022-03-06,69,18,32,30,46,0,0,0,14,16,11,0,48,0,14,88,52,48,34,0,84,60,0,85,0,37,32,0,9,62,0,49,35,0,55,0
2022-03-13,54,21,68,21,70,31,31,38,16,10,6,0,0,0,0,53,36,45,31,0,86,34,16,68,0,49,25,50,35,43,0,57,40,20,72,0
2022-03-20,48,34,0,42,59,27,39,0,15,5,27,0,14,0,0,52,30,36,15,0,80,28,0,50,0,43,21,0,38,57,44,65,46,17,64,25
2022-03-27,35,19,31,17,57,0,42,27,20,28,22,18,0,0,24,38,40,32,29,0,84,19,0,41,17,37,39,0,16,57,0,67,23,0,76,9
2022-04-03,63,23,30,30,55,10,0,26,20,14,21,0,0,0,0,48,35,35,0,0,71,0,0,64,36,39,29,0,17,49,0,59,32,0,62,13
2022-04-10,32,0,56,0,63,0,26,0,28,36,25,0,0,0,0,46,35,32,40,0,60,39,0,88,0,51,27,68,24,57,13,44,24,0,49,0
2022-04-17,52,38,0,40,54,17,21,19,39,44,29,0,34,18,12,34,32,33,40,25,63,27,0,57,53,57,40,0,28,63,0,58,43,0,57,27
2022-04-24,35,29,0,71,61,39,13,49,49,51,44,0,0,0,0,43,61,35,40,33,63,27,0,39,0,71,56,12,46,52,29,42,58,54,48,12
2022-05-01,23,36,24,67,47,23,22,0,40,38,41,0,0,0,0,57,37,37,28,0,59,19,0,64,0,56,55,41,57,42,0,51,71,0,69,0
2022-05-08,53,50,0,50,69,20,17,69,47,68,37,0,23,0,18,31,31,41,26,0,74,16,0,47,21,57,35,38,40,71,0,61,51,23,84,40
2022-05-15,41,47,0,46,58,30,44,24,68,82,29,0,0,0,0,40,32,50,12,0,69,67,0,39,0,64,46,28,45,73,0,57,65,0,77,0
2022-05-22,53,12,20,0,65,45,71,42,54,44,47,39,15,0,0,51,34,45,16,0,75,0,0,56,0,54,36,17,30,57,0,88,49,0,72,0
2022-05-29,87,35,0,43,54,38,40,38,54,72,56,0,41,0,0,14,25,50,0,0,68,0,0,47,57,55,41,0,48,40,0,74,75,23,82,0
2022-06-05,54,37,24,31,69,35,30,93,63,68,68,41,17,0,81,26,30,44,24,0,66,0,0,66,0,45,37,16,39,51,0,63,56,0,75,19
2022-06-12,15,13,47,0,71,13,34,36,60,81,49,42,41,64,0,39,47,51,64,43,79,0,38,63,0,64,82,0,59,66,0,67,60,0,63,100
2022-06-19,45,47,0,82,73,36,49,49,58,57,60,0,0,25,0,63,39,55,0,0,84,47,0,38,0,47,50,49,46,48,33,74,51,0,72,18
2022-06-26,71,21,21,50,56,15,47,23,59,33,77,0,27,0,0,27,31,68,23,0,89,46,52,48,20,56,48,17,46,60,23,80,60,0,82,37
2022-07-03,55,40,0,48,67,61,16,0,56,58,30,100,52,0,0,19,31,58,0,0,89,21,0,28,0,56,40,0,45,53,19,62,48,0,58,0
2022-07-10,45,15,0,21,69,35,19,0,48,56,38,0,21,0,0,24,20,65,54,0,91,0,0,55,24,46,100,31,21,70,0,91,33,32,86,13
2022-07-17,57,12,0,24,58,16,48,0,46,31,45,0,0,100,22,23,35,60,24,0,89,0,0,63,41,43,32,0,42,56,0,80,48,0,100,0
2022-07-24,34,18,0,0,65,24,41,35,46,53,24,13,0,20,28,36,29,64,19,65,72,41,0,56,38,42,11,27,34,74,0,66,60,44,90,22
2022-07-31,60,38,46,0,62,26,17,51,42,55,34,0,0,0,28,23,44,52,0,0,83,52,0,70,0,53,52,18,14,68,0,65,58,0,84,0
2022-08-07,73,13,0,37,57,25,0,0,34,24,45,0,0,0,0,29,28,50,0,0,83,26,0,62,59,45,43,44,24,51,0,79,23,0,75,12
2022-08-14,58,17,0,58,51,21,16,52,35,46,35,0,0,30,0,33,40,44,23,0,73,88,0,58,45,47,64,28,37,50,0,56,37,0,72,0
2022-08-21,33,0,65,0,51,0,35,25,31,31,30,0,59,0,0,51,30,44,16,0,77,16,0,52,0,34,25,17,29,61,0,65,33,33,47,15
2022-08-28,72,44,0,0,52,0,39,69,34,33,54,0,0,27,0,66,23,44,11,0,76,24,0,61,0,53,34,20,38,58,0,52,54,39,65,32
2022-09-04,41,52,0,57,63,37,20,60,28,17,22,0,36,0,0,16,24,45,0,0,72,0,0,44,0,48,47,0,34,57,27,58,19,20,75,14
2022-09-11,37,66,0,35,66,16,0,0,28,10,44,0,32,0,72,39,18,48,35,0,71,51,0,49,0,49,47,21,20,42,0,68,43,0,100,19
2022-09-18,43,22,24,0,57,23,37,0,24,14,25,0,0,0,27,11,13,47,31,0,76,52,0,58,0,41,24,31,28,53,29,56,51,0,50,13
2022-09-25,35,0,0,0,67,22,32,0,23,22,33,0,0,0,0,9,51,47,25,0,86,47,0,20,23,41,28,26,33,60,29,71,43,15,76,0
2022-10-02,49,58,0,18,69,61,59,0,20,12,21,14,20,0,0,40,33,50,20,0,82,32,0,40,37,57,24,0,23,53,0,46,36,0,80,18
2022-10-09,37,13,0,21,59,35,18,56,29,6,33,18,40,0,56,26,41,64,22,31,82,0,0,91,41,45,15,0,23,59,0,55,25,0,75,40
2022-10-16,43,12,0,0,43,0,12,0,23,22,34,0,0,20,0,25,41,59,68,0,94,0,17,55,47,36,52,30,37,55,0,48,31,0,69,22
2022-10-23,58,0,0,39,62,0,22,20,25,28,16,32,18,0,0,53,26,46,39,0,91,16,0,60,42,44,45,23,37,60,0,86,38,45,71,13
2022-10-30,70,14,0,20,59,25,18,30,19,21,26,0,0,0,0,17,32,42,23,38,76,35,0,72,0,35,33,0,22,72,0,55,36,18,79,0
2022-11-06,49,0,52,0,73,21,0,38,18,0,22,0,33,0,0,26,33,43,66,0,84,31,0,48,0,32,0,0,24,62,0,60,29,0,90,9
2022-11-13,31,24,0,16,66,13,25,0,18,39,15,0,0,20,0,10,16,41,18,29,73,24,0,54,0,34,29,19,0,28,0,54,34,0,71,13
2022-11-20,30,19,20,31,53,0,23,24,17,9,18,0,25,0,0,35,35,39,0,20,73,0,0,47,0,42,49,14,20,61,0,39,34,0,71,12
2022-11-27,55,15,22,0,47,24,31,0,14,0,27,0,45,0,18,44,15,36,0,0,71,25,0,55,0,26,21,0,26,56,0,41,36,0,67,0
2022-12-04,79,0,0,26,45,16,0,0,18,0,24,0,21,0,29,31,38,37,29,0,75,44,0,44,0,29,15,29,26,51,15,54,39,21,88,0
2022-12-11,60,0,0,34,67,0,0,0,20,21,33,0,21,22,25,0,32,46,0,0,70,0,30,40,69,40,40,26,28,60,0,57,26,17,55,0
2022-12-18,20,12,0,46,53,35,0,54,15,0,17,16,0,0,0,36,22,48,23,59,71,16,17,81,0,36,45,16,16,37,0,49,38,17,62,17
2022-12-25,62,15,0,26,61,28,35,30,17,16,10,0,0,0,0,0,63,45,0,0,78,0,0,52,0,40,22,19,15,59,42,76,33,44,73,0
2023-01-01,35,0,0,0,48,0,0,28,18,15,19,17,0,0,0,37,54,32,18,0,77,25,0,42,0,32,26,25,10,48,0,78,45,0,99,0
2023-01-08,45,12,0,0,64,17,30,0,17,25,23,20,0,0,0,29,32,42,0,34,69,0,0,49,30,38,35,0,29,57,0,57,39,0,42,17
2023-01-15,55,0,0,0,50,72,0,0,18,27,16,0,0,0,0,63,32,42,0,0,71,44,31,43,0,32,50,0,25,47,0,62,18,0,97,21
2023-01-22,21,21,0,0,72,0,26,0,14,15,15,0,0,0,0,22,25,43,22,0,64,35,0,37,0,28,23,32,0,52,24,70,18,37,52,0
2023-01-29,37,25,0,31,60,0,14,0,19,22,17,71,0,0,0,39,22,43,0,0,77,0,0,31,0,23,36,23,0,45,0,58,31,20,71,12
2023-02-05,32,31,0,67,63,29,20,28,16,10,22,0,0,0,0,26,36,42,0,0,67,0,0,61,0,35,18,21,0,49,0,46,30,0,63,11
2023-02-12,63,30,61,0,64,0,13,19,16,7,26,0,0,34,0,27,27,48,54,0,66,18,21,71,62,33,54,0,7,40,0,48,28,0,83,12
2023-02-19,36,0,0,64,81,100,23,0,14,9,13,14,22,0,15,36,32,50,48,0,92,15,0,60,53,39,18,26,20,68,0,89,28,0,69,0
2023-02-26,35,31,0,30,62,0,12,0,7,5,18,23,0,0,0,46,31,44,25,0,65,0,14,51,0,30,11,18,26,53,0,54,30,0,66,0
2023-03-05,51,0,0,0,67,25,16,0,12,11,5,0,0,0,0,16,37,59,25,23,79,21,25,72,0,38,0,37,30,54,0,57,55,0,82,18
2023-03-12,40,15,0,0,54,31,0,0,14,0,19,19,41,0,0,42,29,62,18,21,80,0,0,53,0,36,32,0,22,42,0,47,37,17,70,27
2023-03-19,44,15,18,68,56,17,29,24,15,5,22,0,0,0,0,27,40,58,30,0,85,28,0,50,23,34,57,39,23,51,0,41,26,0,88,0
2023-03-26,44,0,0,0,65,20,39,46,18,30,17,0,0,76,61,35,32,56,46,55,81,0,0,71,0,44,53,79,39,68,0,40,35,76,70,0
