Week,abdominal pain: (Singapore),aedes: (Singapore),Aedes aegypti: (Singapore),Aedes mosquito: (Singapore),bleeding: (Singapore),blood transfusion: (Singapore),citronella: (Singapore),DEET: (Singapore),dengue: (Singapore),Dengue cluster: (Singapore),dengue fever: (Singapore),dengue hotspots: (Singapore),dengue vaccine: (Singapore),Dengvaxia: (Singapore),dhf: (Singapore),essential oils: (Singapore),eucalyptus: (Singapore),Fever: (Singapore),fogging: (Singapore),haemorrhagic: (Singapore),headache: (Singapore),insecticide: (Singapore),IR3535: (Singapore),joint pain: (Singapore),mopiko: (Singapore),mosquito: (Singapore),mosquito bite: (Singapore),mosquito net: (Singapore),mosquito repellent: (Singapore),nausea: (Singapore),picaridin: (Singapore),Rashes: (Singapore),repellent: (Singapore),stagnant water: (Singapore),vomit: (Singapore),wolbachia: (Singapore)
2019-01-20,32,0,0,0,58,20,25,0,23,16,25,0,21,0,0,51,28,36,20,0,59,0,21,59,22,27,19,25,23,30,0,55,26,17,69,0
2019-01-27,72,0,0,60,63,0,0,0,15,25,31,0,32,23,40,56,27,40,34,0,73,0,0,57,49,35,65,19,8,43,27,35,31,29,83,16
2019-02-03,100,0,0,0,71,40,26,39,20,30,49,0,35,48,24,23,23,37,32,0,66,38,22,60,39,27,35,22,16,46,0,54,32,25,52,0
2019-02-10,80,46,0,0,64,17,0,26,28,43,49,0,0,40,0,70,20,38,0,0,61,68,0,0,0,36,38,19,25,43,0,49,16,64,43,0
2019-02-17,37,36,0,50,66,40,0,0,20,12,31,20,0,0,0,40,14,40,0,0,61,37,0,42,0,41,0,31,14,50,0,59,33,0,45,29
2019-02-24,100,23,0,55,53,34,18,24,17,18,24,0,29,0,0,69,38,42,17,31,65,22,0,47,30,34,0,61,31,51,0,55,48,0,51,0
2019-03-03,43,44,23,0,56,0,16,0,18,26,27,17,0,21,27,45,33,39,32,0,64,16,0,15,0,52,71,0,43,27,0,62,50,18,48,0
2019-03-10,75,0,0,0,44,0,24,39,13,22,27,16,0,0,0,39,26,36,33,0,63,38,0,66,28,35,26,20,34,42,0,61,40,25,84,0
2019-03-17,46,25,0,50,53,0,21,25,16,17,38,27,86,0,0,32,16,38,0,0,55,92,0,55,65,27,0,0,13,35,0,32,33,0,43,0
2019-03-24,33,0,0,46,56,86,0,29,14,0,15,0,0,0,32,45,38,31,0,0,60,24,38,60,0,30,0,0,26,49,0,46,30,32,45,0
2019-03-31,74,36,39,0,61,0,25,0,18,27,25,0,0,0,0,74,19,32,14,0,69,0,0,37,0,28,18,0,27,49,0,62,21,0,75,0
2019-04-07,82,0,0,0,57,0,0,0,17,20,18,0,100,0,0,31,19,40,0,0,74,23,0,42,50,39,51,0,19,44,0,74,26,0,49,0
2019-04-14,52,46,47,30,66,0,24,0,18,16,13,0,0,0,0,68,33,30,24,0,56,41,0,48,0,38,42,0,12,45,0,55,28,0,55,0
2019-04-21,38,53,0,50,56,0,21,56,17,0,24,0,0,0,0,63,13,34,31,0,73,52,21,65,0,43,29,76,19,39,0,30,38,0,55,0
2019-04-28,36,0,45,0,56,0,52,23,17,0,33,0,0,0,0,69,27,40,0,0,52,0,0,30,0,36,54,0,28,44,0,50,17,0,58,0
2019-05-05,60,27,22,0,54,0,29,42,19,10,49,28,0,0,0,67,42,47,0,26,64,24,0,64,0,47,38,0,24,40,0,50,41,24,66,0
2019-05-12,55,71,27,56,61,22,14,0,19,25,41,27,0,0,40,62,17,38,16,0,72,56,0,44,44,48,14,16,8,45,36,59,36,45,47,0
2019-05-19,51,16,22,0,56,0,29,42,19,19,42,0,26,0,0,48,24,38,0,31,56,23,0,13,0,35,50,0,8,60,0,50,23,0,58,0
2019-05-26,46,0,0,0,57,0,0,22,34,33,51,31,49,0,0,58,24,49,0,0,67,25,0,36,0,41,54,0,21,38,0,64,31,18,61,0
2019-06-02,12,35,42,49,50,0,0,58,25,17,20,0,0,0,0,51,33,44,0,0,55,34,0,66,0,44,0,0,42,35,0,43,44,0,60,0
2019-06-09,36,53,24,22,77,0,31,0,24,18,37,0,0,0,0,50,38,43,39,0,71,31,0,60,0,55,62,0,19,34,0,59,38,21,58,13
2019-06-16,27,26,79,37,68,0,45,32,42,52,71,0,0,0,0,70,25,49,0,0,58,0,53,25,0,51,65,22,42,34,0,59,60,19,66,16
