time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),google_trends,Mean Temperature (°C)_lag28,Mean Temperature (°C)_lag51,Mean Wind Speed (km/h)_lag6,Mean Wind Speed (km/h)_lag22,Mean Wind Speed (km/h)_lag47,Maximum Temperature (°C)_lag10,Max Wind Speed (km/h)_lag14,Max Wind Speed (km/h)_lag41,Minimum Temperature (°C)_lag49,dengue_cases_lag_1,dengue_cases_lag_2,dengue_cases_lag_3,s_ratio,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2021-03-21,120,0.005,0.302,0.36,0.333,28.12857142857143,9.4,3.142857142857143,33.5,35.2,24.0,20,27.585714285714285,28.6,12.94285714285714,8.914285714285715,7.714285714285714,31.6,42.6,35.2,23.8,129.0,145.0,139.0,0.741279389808666,0,1,0,0,0,0,0,0,0,0,0
2021-03-28,113,0.005,0.302,0.36,0.333,27.47142857142857,8.3,7.714285714285714,33.5,48.2,24.1,21,27.4,29.12857142857143,13.44285714285714,6.7,5.828571428571428,30.5,31.5,50.0,26.4,120.0,129.0,145.0,0.741194706907753,0,1,0,0,0,0,0,0,0,0,0
2021-04-04,102,0.0,0.412,0.412,0.175,28.214285714285715,6.328571428571428,15.657142857142857,34.7,37.0,23.3,21,27.75714285714286,28.52857142857143,15.685714285714283,6.514285714285714,7.8,31.2,31.5,37.0,25.1,113.0,120.0,129.0,0.6983426563434698,0,0,1,0,0,0,0,0,0,0,0
2021-04-11,112,0.0,0.412,0.412,0.175,28.47142857142857,8.171428571428573,9.571428571428571,33.3,42.6,24.5,23,27.457142857142856,29.585714285714285,10.857142857142858,6.042857142857143,9.128571428571428,31.6,44.4,42.6,24.4,102.0,113.0,120.0,0.6983095887448553,0,0,1,0,0,0,0,0,0,0,0
2021-04-18,128,0.0,0.412,0.412,0.175,27.728571428571428,6.185714285714285,16.4,32.7,31.5,23.1,26,27.842857142857145,28.857142857142858,12.457142857142856,8.385714285714286,6.171428571428572,32.7,37.0,35.2,23.6,112.0,102.0,113.0,0.6982860079212057,0,0,1,0,0,0,0,0,0,0,0
2021-04-25,84,0.0,0.412,0.412,0.175,28.285714285714285,6.185714285714285,6.114285714285714,33.1,35.2,23.5,27,28.2,27.8,10.885714285714286,6.614285714285714,7.242857142857142,32.2,42.6,37.0,24.6,128.0,112.0,102.0,0.6981060807853481,0,0,1,0,0,0,0,0,0,0,0
2021-05-02,117,0.0,0.385,0.526,0.09,28.557142857142857,7.742857142857143,1.5142857142857145,33.4,38.9,25.1,27,28.81428571428572,29.0,9.4,6.1000000000000005,7.085714285714286,31.9,48.2,35.2,24.9,84.0,128.0,112.0,0.693934283091654,0,0,0,1,0,0,0,0,0,0,0
2021-05-09,92,0.0,0.385,0.526,0.09,28.428571428571427,6.028571428571429,4.314285714285714,33.5,35.2,24.3,21,28.25714285714286,29.12857142857143,8.3,11.771428571428572,8.819275041667073,33.7,40.7,53.7,23.8,117.0,84.0,128.0,0.6937513114686162,0,0,0,1,0,0,0,0,0,0,0
2021-05-16,116,0.0,0.385,0.526,0.09,28.81428571428572,6.971428571428571,13.599999999999998,33.6,38.9,24.7,22,28.11428571428572,28.857142857142858,6.328571428571428,11.1,6.228571428571429,34.2,40.7,42.6,24.0,92.0,117.0,84.0,0.6937206620515899,0,0,0,1,0,0,0,0,0,0,0
2021-05-23,129,0.0,0.385,0.526,0.09,28.085714285714285,6.085714285714286,12.028571428571428,32.6,35.2,22.9,23,27.014285714285712,29.17142857142857,8.171428571428573,6.328571428571428,9.414285714285716,33.3,37.0,44.4,24.2,116.0,92.0,117.0,0.6936347239494121,0,0,0,1,0,0,0,0,0,0,0
2021-05-30,118,0.0,0.385,0.526,0.09,29.342857142857145,8.77142857142857,5.142857142857143,33.5,40.7,24.7,28,27.914285714285715,28.11428571428572,6.185714285714285,7.8,11.428571428571429,33.5,42.6,40.7,23.7,129.0,116.0,92.0,0.6934751994327103,0,0,0,1,0,0,0,0,0,0,0
2021-06-06,137,0.0,0.264,0.611,0.125,29.52857142857143,8.528571428571428,0.3142857142857142,33.7,46.3,26.6,23,27.357142857142858,28.585714285714285,6.185714285714285,8.6,7.685714285714285,33.5,37.0,48.2,23.7,118.0,129.0,116.0,0.7205401809801705,0,0,0,0,1,0,0,0,0,0,0
2021-06-13,135,0.0,0.264,0.611,0.125,28.75714285714286,7.871428571428572,3.314285714285714,32.9,46.3,23.6,27,26.61428571428572,27.642857142857142,7.742857142857143,7.428571428571429,7.6,34.7,40.7,51.9,24.6,137.0,118.0,129.0,0.7203376802221163,0,0,0,0,1,0,0,0,0,0,0
2021-06-20,126,0.0,0.264,0.611,0.125,27.985714285714288,6.042857142857143,3.885714285714286,33.0,42.6,23.4,22,27.357142857142858,27.885714285714283,6.028571428571429,11.985714285714286,9.171428571428573,33.3,40.7,40.7,24.5,135.0,137.0,118.0,0.7201252185330115,0,0,0,0,1,0,0,0,0,0,0
