time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),recent_cases_in_cluster_central,recent_cases_in_cluster_east,recent_cases_in_cluster_north,recent_cases_in_cluster_north-east,recent_cases_in_cluster_west,google_trends
2018-10-21,78,0.154,0.635,0.183,0.029,28.02857142857143,6.742857142857143,3.828571428571428,33.3,48.2,23.4,6.0,6.0,7.0,1.0,2.0,17
2018-10-28,75,0.154,0.635,0.183,0.029,27.8,6.1571428571428575,1.3714285714285714,32.8,35.6,25.1,7.0,10.0,15.0,5.0,1.0,18
2018-11-04,71,0.104,0.681,0.208,0.007,27.47142857142857,6.885714285714286,1.8,32.9,37.8,24.5,9.0,17.0,10.0,2.0,1.0,19
2018-11-11,78,0.104,0.681,0.208,0.007,27.32857142857143,5.6571428571428575,3.4285714285714284,32.7,32.8,23.6,17.0,15.0,11.0,2.0,1.0,24
2018-11-18,97,0.104,0.681,0.208,0.007,27.17142857142857,5.385714285714286,6.857142857142857,32.5,55.4,22.4,23.0,14.0,11.0,2.0,2.0,23
2018-11-25,109,0.104,0.681,0.208,0.007,27.314285714285717,5.542857142857143,6.942857142857143,33.4,40.0,22.8,20.0,16.0,13.0,2.0,2.0,31
2018-12-02,114,0.177,0.581,0.226,0.016,27.442857142857143,6.928571428571429,6.371428571428572,32.0,33.5,23.9,13.0,19.0,7.0,3.0,5.0,26
2018-12-09,107,0.177,0.581,0.226,0.016,27.61428571428572,6.285714285714286,1.5714285714285714,32.3,26.6,24.9,14.0,22.0,6.0,3.0,8.0,23
2018-12-16,127,0.177,0.581,0.226,0.016,26.885714285714283,6.4,11.05714285714286,31.9,37.4,23.7,9.0,17.0,8.0,2.0,11.0,25
2018-12-23,160,0.177,0.581,0.226,0.016,27.728571428571428,7.357142857142857,2.8285714285714287,32.7,45.0,23.6,8.0,24.0,11.0,5.0,14.0,19
2018-12-30,205,0.049,0.451,0.407,0.093,28.285714285714285,6.857142857142857,2.5428571428571423,33.8,45.7,24.7,4.0,40.0,9.0,9.0,23.0,23
2019-01-06,245,0.063,0.773,0.147,0.017,28.61428571428572,9.257142857142856,5.6000000000000005,33.4,43.9,24.8,10.0,52.0,12.0,12.0,37.0,25
2019-01-13,207,0.063,0.773,0.147,0.017,28.314285714285717,12.385714285714286,0.9142857142857144,32.6,37.8,24.7,26.0,67.0,22.0,25.0,42.0,28
2019-01-20,221,0.063,0.773,0.147,0.017,27.47142857142857,9.314285714285717,7.771428571428572,32.6,35.6,23.5,19.0,72.0,26.0,18.0,35.0,27
2019-01-27,179,0.063,0.773,0.147,0.017,27.642857142857142,12.7,0.2857142857142857,31.9,47.5,25.0,19.0,80.0,31.0,24.0,30.0,29
2019-02-03,135,0.09,0.737,0.13,0.043,27.814285714285717,12.585714285714284,0.1428571428571428,32.9,38.9,25.2,20.0,78.0,33.0,25.0,28.0,29
2019-02-10,232,0.09,0.737,0.13,0.043,28.385714285714283,12.071428571428571,0.0,34.1,43.6,24.7,20.0,70.0,32.0,23.0,26.0,34
2019-02-17,181,0.09,0.737,0.13,0.043,28.085714285714285,12.714285714285714,1.3142857142857145,33.6,43.2,23.0,20.0,62.0,32.0,22.0,24.0,31
2019-02-24,156,0.09,0.737,0.13,0.043,28.071428571428573,10.842857142857142,3.142857142857143,33.5,35.3,21.9,20.0,55.0,31.0,20.0,22.0,26
2019-03-03,133,0.05,0.639,0.238,0.074,28.342857142857145,13.357142857142858,0.0285714285714285,33.6,41.8,24.7,19.0,47.0,31.0,19.0,20.0,31
2019-03-10,109,0.05,0.639,0.238,0.074,28.928571428571427,10.9,0.0,34.7,37.8,24.6,19.0,39.0,30.0,17.0,18.0,22
2019-03-17,96,0.05,0.639,0.238,0.074,28.52857142857143,10.22857142857143,3.857142857142857,34.8,41.0,22.3,19.0,32.0,30.0,16.0,16.0,24
2019-03-24,99,0.05,0.639,0.238,0.074,28.842857142857145,9.828571428571427,1.2571428571428571,34.5,32.8,23.1,19.0,24.0,30.0,14.0,14.0,22
2019-03-31,108,0.05,0.639,0.238,0.074,28.7,9.357142857142858,5.2,34.5,34.9,22.9,19.0,16.0,29.0,13.0,12.0,21
2019-04-07,125,0.077,0.568,0.297,0.058,28.11428571428572,7.928571428571429,8.142857142857142,33.7,36.7,22.7,10.0,16.0,30.0,10.0,6.0,28
2019-04-14,134,0.077,0.568,0.297,0.058,28.62857142857143,7.814285714285715,5.314285714285715,33.4,40.7,23.6,10.0,25.0,41.0,15.0,3.0,28
2019-04-21,156,0.077,0.568,0.297,0.058,29.357142857142858,8.857142857142858,3.057142857142857,34.5,37.8,25.0,12.0,19.0,47.0,23.0,1.0,30
